BC Sale Price,Wall Material,Roof Material,Basement,Central Air Conditioning,Age,Bedrooms,Building Square Feet,Full Baths,Garage Size,Half Baths,Land Acre,Tract Median Income
1.9414041264690953,Masonry,Shingle + Asphalt,Crawl,Central A/C,33,3,3.54,3,2.0,1,0.071740129,132.222
1.9087129070824722,Masonry,Shingle + Asphalt,Slab,Central A/C,21,2,1.422,2,1.0,0,0.026790634,99.44
1.9340619526604212,Masonry,Shingle + Asphalt,Full,Central A/C,23,3,2.228,2,2.0,1,0.065312213,36.927
1.9498035355889474,Masonry,Tar + Gravel,Full,Central A/C,12,3,2.78,3,2.0,1,0.064279155,148.616
1.9613305404381736,Masonry,Shingle + Asphalt,Full,Central A/C,21,4,4.228,4,2.0,1,0.067768595,142.583
1.9035514355659175,Masonry,Tar + Gravel,Crawl,Central A/C,47,1,0.936,1,0.0,0,0.022566575,162.054
1.9183503419072274,Masonry,Tar + Gravel,Full,Central A/C,34,3,1.606,3,1.0,0,0.033631772,141.806
1.9428571428571428,Masonry,Tar + Gravel,Full,Central A/C,29,4,2.446,3,2.0,1,0.046372819,148.616
1.898070561712475,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,1.092,1,0.0,0,0.029063361,112.788
1.9443153953610295,Masonry,Tar + Gravel,Full,Central A/C,3,5,4.95,4,2.0,1,0.058539945,122.479
1.9057190958417936,Masonry,Tar + Gravel,Crawl,Central A/C,49,2,0.864,1,0.0,0,0.021212121,132.222
1.96,Masonry,Tar + Gravel,Full,Central A/C,18,5,3.348,4,2.0,2,0.068870523,148.616
1.964078939594645,Masonry,Tar + Gravel,Full,Central A/C,9,4,3.628,4,2.5,2,0.071740129,148.616
1.9196780671097502,Masonry,Shingle + Asphalt,Slab,Central A/C,23,2,1.771,2,1.0,1,0.020913682,148.616
1.9422649730810375,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.72,2,2.0,1,0.03677686,158.375
1.9347671926946557,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.993,3,2.0,1,0.034963269,122.479
1.9514928749927334,Masonry,Tar + Gravel,Full,Central A/C,14,5,3.788,5,2.0,1,0.067217631,36.927
1.920089449752436,Masonry,Tar + Gravel,Full,Central A/C,49,3,1.438,2,0.0,0,0.021533517,112.788
1.9297271631073694,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.993,3,2.0,1,0.03459596,122.479
1.9520122832834204,Masonry,Shingle + Asphalt,Full,Central A/C,26,3,2.92,2,2.0,1,0.062488522,132.222
1.9276898473937814,Masonry,Tar + Gravel,Slab,Central A/C,6,4,2.134,2,2.0,1,0.037121212,58.542
1.9401985104758492,Masonry,Shingle + Asphalt,Slab,Central A/C,33,3,2.532,3,1.5,1,0.030532599,83.806
1.946355821921418,Masonry,Tar + Gravel,Full,Central A/C,25,4,3.609,4,2.0,1,0.071740129,132.222
1.9603940982809331,Masonry,Tar + Gravel,Partial,Central A/C,17,5,3.248,4,2.0,1,0.071740129,119.432
1.9015268072165339,Masonry,Tar + Gravel,Full,Central A/C,49,2,0.861,1,0.0,1,0.015977961,142.583
1.9225887000283817,Masonry,Shingle + Asphalt,Slab,Central A/C,35,3,1.502,2,1.0,1,0.05268595,141.806
1.9323876596217187,Masonry,Shingle + Asphalt,Full,Central A/C,21,2,1.44,2,0.0,0,0.040610652,122.479
1.9226755326972942,Masonry,Tar + Gravel,Full,No Central A/C,46,2,1.584,2,0.0,0,0.025413223,138.934
1.9671423961273238,Masonry,Other,Full,Central A/C,6,5,4.287,4,2.5,3,0.085399449,119.432
1.9292893218813452,Masonry,Tar + Gravel,Full,Central A/C,33,3,1.644,3,1.0,0,0.030371901,132.222
1.9199359230974564,Masonry,Shingle + Asphalt,Slab,Central A/C,21,3,2.22,2,1.0,1,0.034297521,99.44
1.9467376358708692,Masonry,Tar + Gravel,Full,Central A/C,3,6,3.864,5,2.5,2,0.071740129,148.616
1.9516349166593325,Masonry,Tar + Gravel,Full,Central A/C,30,6,3.999,4,2.0,1,0.05915978,141.806
1.9349399951367645,Masonry,Shingle + Asphalt,Slab,Central A/C,26,3,2.206,3,2.0,0,0.031336088,122.479
1.9186884371818258,Masonry,Tar + Gravel,Slab,Central A/C,23,3,1.921,2,1.0,1,0.015013774,36.927
1.9082337064517754,Masonry,Shingle + Asphalt,Slab,Central A/C,27,3,1.24,2,1.0,1,0.018870523,132.222
